file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\1_Estacionamento\ComandoCompleto\Copilot\code\src\Estacionamento.java,Estacionamento,Estacionamento/1[int],true,8,0,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\1_Estacionamento\ComandoCompleto\Copilot\code\src\Estacionamento.java,Estacionamento,removerVeiculo/1[java.lang.String],false,21,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\1_Estacionamento\ComandoCompleto\Copilot\code\src\Estacionamento.java,Estacionamento,estacionarVeiculo/1[java.lang.String],false,13,0,1,1,0,2,2,7,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\1_Estacionamento\ComandoCompleto\Copilot\code\src\Estacionamento.java,Estacionamento,vagasDisponiveis/0,false,25,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\1_Estacionamento\ComandoCompleto\Copilot\code\src\Estacionamento.java,Estacionamento,getTotalVagas/0,false,33,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\1_Estacionamento\ComandoCompleto\Copilot\code\src\Estacionamento.java,Estacionamento,setTotalVagas/1[int],false,29,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\1_Estacionamento\ComandoCompleto\Copilot\code\src\Veiculo.java,Veiculo,setPlaca/1[java.lang.String],false,12,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\1_Estacionamento\ComandoCompleto\Copilot\code\src\Veiculo.java,Veiculo,Veiculo/1[java.lang.String],true,4,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\1_Estacionamento\ComandoCompleto\Copilot\code\src\Veiculo.java,Veiculo,getPlaca/0,false,8,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\1_Estacionamento\ComandoCompleto\Copilot\code\src\Main.java,Main,main/1[java.lang.String[]],false,4,1,5,0,5,9,9,55,1,5,1,9,0,0,1,0,0,0,20,5,7,1,3,0,0,0,32,9,0,false
