file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,removerVeiculo/1[java.lang.String],vagasDisponiveis,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,removerVeiculo/1[java.lang.String],valorPorHora,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,removerVeiculo/1[java.lang.String],veiculosEstacionados,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,getVagasDisponiveis/0,vagasDisponiveis,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,mostrarStatus/0,vagasDisponiveis,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,mostrarStatus/0,totalVagas,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,mostrarStatus/0,valorPorHora,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,setTotalVagas/1[int],vagasDisponiveis,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,setTotalVagas/1[int],totalVagas,7
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,"SistemaEstacionamento/2[int,double]",vagasDisponiveis,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,"SistemaEstacionamento/2[int,double]",totalVagas,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,"SistemaEstacionamento/2[int,double]",valorPorHora,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,"SistemaEstacionamento/2[int,double]",veiculosEstacionados,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,estacionarVeiculo/1[java.lang.String],vagasDisponiveis,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,estacionarVeiculo/1[java.lang.String],veiculosEstacionados,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento$Veiculo,getPlaca/0,placa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento$Veiculo,getEntrada/0,entrada,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento$Veiculo,"Veiculo/2[java.lang.String,java.time.LocalDateTime]",entrada,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento$Veiculo,"Veiculo/2[java.lang.String,java.time.LocalDateTime]",placa,3
