file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,removerVeiculo/1[java.lang.String],false,38,1,2,1,1,3,10,20,2,5,1,10,0,0,0,0,0,0,6,3,5,4,1,0,0,0,21,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,getVagasDisponiveis/0,false,61,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,mostrarStatus/0,false,77,0,1,1,0,1,2,8,0,0,0,2,0,0,0,0,0,1,7,0,0,5,0,0,0,0,9,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,setTotalVagas/1[int],false,65,0,1,1,0,2,1,10,1,1,1,1,0,0,0,0,0,0,3,0,3,4,1,0,0,0,14,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],false,104,1,6,0,6,8,11,54,0,8,1,11,5,1,1,1,0,0,17,7,8,1,2,0,0,0,32,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,"SistemaEstacionamento/2[int,double]",true,13,1,1,1,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,estacionarVeiculo/1[java.lang.String],false,20,1,2,1,1,3,4,15,3,1,1,4,0,0,0,0,0,0,3,1,1,1,1,0,0,0,13,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento$Veiculo,getPlaca/0,false,95,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento$Veiculo,getEntrada/0,false,99,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento$Veiculo,"Veiculo/2[java.lang.String,java.time.LocalDateTime]",true,90,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
