file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,removerVeiculo/1[java.lang.String],veiculo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,removerVeiculo/1[java.lang.String],horas,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,removerVeiculo/1[java.lang.String],valor,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,removerVeiculo/1[java.lang.String],saida,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,removerVeiculo/1[java.lang.String],duracao,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,removerVeiculo/1[java.lang.String],placa,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,setTotalVagas/1[int],totalVagas,6
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,setTotalVagas/1[int],veiculosEstacionados,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],estacionamento,5
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],opcao,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],placaSaida,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],totalVagas,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],scanner,10
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],valorPorHora,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],novoTotal,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],placaEntrada,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,"SistemaEstacionamento/2[int,double]",totalVagas,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,"SistemaEstacionamento/2[int,double]",valorPorHora,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,estacionarVeiculo/1[java.lang.String],veiculo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,estacionarVeiculo/1[java.lang.String],placa,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento$Veiculo,"Veiculo/2[java.lang.String,java.time.LocalDateTime]",entrada,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento$Veiculo,"Veiculo/2[java.lang.String,java.time.LocalDateTime]",placa,2
