file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,listarVagas/0,vagas,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,Estacionamento/1[int],vagas,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,Estacionamento/1[int],capacidade,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,getVagasDisponiveis/0,vagas,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,cadastrarVagas/1[int],vagas,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,cadastrarVagas/1[int],capacidade,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,removerVeiculo/1[java.lang.String],vagas,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,estacionarVeiculo/1[Veiculo],vagas,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Veiculo,"Veiculo/3[java.lang.String,java.lang.String,java.lang.String]",cor,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Veiculo,"Veiculo/3[java.lang.String,java.lang.String,java.lang.String]",modelo,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Veiculo,"Veiculo/3[java.lang.String,java.lang.String,java.lang.String]",placa,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Veiculo,getModelo/0,modelo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Veiculo,getCor/0,cor,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Veiculo,getPlaca/0,placa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,SistemaEstacionamento/0,estacionamento,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,SistemaEstacionamento/0,scanner,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,processarOpcao/1[int],estacionamento,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,processarOpcao/1[int],scanner,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,cadastrarVagas/0,estacionamento,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,cadastrarVagas/0,scanner,2
