file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,listarVagas/0,false,122,2,5,1,4,3,7,13,0,0,0,7,0,0,1,0,0,0,7,0,0,2,2,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,Estacionamento/1[int],true,74,2,2,1,1,1,1,5,0,0,1,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,getVagasDisponiveis/0,false,112,1,2,1,1,3,2,9,1,1,0,2,0,0,1,0,0,0,0,1,1,0,2,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,cadastrarVagas/1[int],false,80,1,3,2,1,2,2,7,0,1,1,2,0,0,1,0,0,0,1,1,2,3,1,0,0,0,9,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,removerVeiculo/1[java.lang.String],false,100,2,5,1,4,4,7,11,1,1,1,7,0,0,1,1,0,0,5,0,1,2,2,0,0,0,12,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,estacionarVeiculo/1[Veiculo],false,88,2,5,1,4,4,6,11,1,0,1,6,0,0,1,0,0,0,4,0,0,1,3,0,0,0,10,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Veiculo,"Veiculo/3[java.lang.String,java.lang.String,java.lang.String]",true,51,0,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Veiculo,getModelo/0,false,61,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Veiculo,getCor/0,false,65,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Veiculo,getPlaca/0,false,57,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
