file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,listarVagas/0,vaga,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,Estacionamento/1[int],capacidadeInicial,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,getVagasDisponiveis/0,vaga,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,getVagasDisponiveis/0,count,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,cadastrarVagas/1[int],i,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,cadastrarVagas/1[int],quantidade,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,removerVeiculo/1[java.lang.String],veiculo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,removerVeiculo/1[java.lang.String],vaga,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,removerVeiculo/1[java.lang.String],placa,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,estacionarVeiculo/1[Veiculo],veiculo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Estacionamento,estacionarVeiculo/1[Veiculo],vaga,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Veiculo,"Veiculo/3[java.lang.String,java.lang.String,java.lang.String]",cor,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Veiculo,"Veiculo/3[java.lang.String,java.lang.String,java.lang.String]",modelo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Veiculo,"Veiculo/3[java.lang.String,java.lang.String,java.lang.String]",placa,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,SistemaEstacionamento/0,capacidadeInicial,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,processarOpcao/1[int],opcao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,cadastrarVagas/0,quantidade,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,verificarVagasDisponiveis/0,vagasDisponiveis,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],opcao,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],sistema,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,removerVeiculo/0,placa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,estacionarVeiculo/0,veiculo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,estacionarVeiculo/0,cor,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,estacionarVeiculo/0,modelo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,SistemaEstacionamento,estacionarVeiculo/0,placa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Vaga,removerVeiculo/0,veiculo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Vaga,estacionar/1[Veiculo],veiculo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\SistemaEstacionamento\ComandoCompleto\Gemini\code\SistemaEstacionamento.java,Vaga,Vaga/1[int],numero,2
