file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,Estacionamento/0,vagas,6
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,mostrarVagasDisponiveis/0,vagas,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,removerVeiculo/1[java.lang.String],vagas,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,estacionarVeiculo/1[Veiculo],vagas,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Veiculo,getPlaca/0,placa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Veiculo,"Veiculo/2[java.lang.String,TipoVeiculo]",tipo,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Veiculo,"Veiculo/2[java.lang.String,TipoVeiculo]",placa,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Veiculo,getTipo/0,tipo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,TipoVaga,getTaxaPorHora/0,taxaPorHora,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,TipoVaga,TipoVaga/1[double],taxaPorHora,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Vaga,calcularTarifa/0,tipo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Vaga,calcularTarifa/0,entrada,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Vaga,"Vaga/2[java.lang.String,TipoVaga]",tipo,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Vaga,"Vaga/2[java.lang.String,TipoVaga]",id,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Vaga,estacionar/1[Veiculo],veiculo,4
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Vaga,estacionar/1[Veiculo],entrada,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Vaga,removerVeiculo/0,veiculo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Vaga,getTipo/0,tipo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Vaga,estaDisponivel/0,veiculo,1
