file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,Estacionamento/0,true,97,1,2,1,1,1,1,8,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,mostrarVagasDisponiveis/0,false,125,1,3,1,2,4,6,9,0,6,0,6,0,0,0,3,0,0,4,0,3,3,0,0,0,3,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,removerVeiculo/1[java.lang.String],false,116,2,5,1,4,4,5,8,2,0,1,5,0,0,1,0,0,0,0,1,0,0,2,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,estacionarVeiculo/1[Veiculo],false,107,2,2,1,1,3,1,8,2,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Veiculo,getPlaca/0,false,34,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Veiculo,"Veiculo/2[java.lang.String,TipoVeiculo]",true,29,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Veiculo,getTipo/0,false,38,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],false,138,3,5,0,5,9,9,52,1,9,1,9,0,0,1,1,0,0,15,5,9,0,4,0,0,0,29,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,TipoVaga,getTaxaPorHora/0,false,20,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,TipoVaga,TipoVaga/1[double],true,16,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
