file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,mostrarVagasDisponiveis/0,motos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,mostrarVagasDisponiveis/0,v,8
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,mostrarVagasDisponiveis/0,carros,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,mostrarVagasDisponiveis/0,onibus,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,removerVeiculo/1[java.lang.String],vaga,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,removerVeiculo/1[java.lang.String],placa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,estacionarVeiculo/1[Veiculo],veiculo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Estacionamento,estacionarVeiculo/1[Veiculo],vaga,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Veiculo,"Veiculo/2[java.lang.String,TipoVeiculo]",tipo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,Veiculo,"Veiculo/2[java.lang.String,TipoVeiculo]",placa,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],estacionamento,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],opcao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],tipoVeiculo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],veiculo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],tarifa,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],tipo,0
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],placaRemover,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],scanner,6
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,SistemaEstacionamento,main/1[java.lang.String[]],placa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\DeepSeek\code\SistemaEstacionamento.java,TipoVaga,TipoVaga/1[double],taxaPorHora,2
