file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Vehicle.java,Vehicle,getType/0,type,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Vehicle.java,Vehicle,getLicensePlate/0,licensePlate,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Vehicle.java,Vehicle,getEntryTime/0,entryTime,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Vehicle.java,Vehicle,"Vehicle/3[java.lang.String,java.lang.String,long]",entryTime,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Vehicle.java,Vehicle,"Vehicle/3[java.lang.String,java.lang.String,long]",licensePlate,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Vehicle.java,Vehicle,"Vehicle/3[java.lang.String,java.lang.String,long]",type,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,removeVehicle/1[java.lang.String],repository,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,ParkingLotService/1[ParkingLotRepository],repository,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,"parkVehicle/2[java.lang.String,java.lang.String]",repository,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,isVehicleParked/1[java.lang.String],parkedVehicles,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,getAvailableSpots/0,availableSpots,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,ParkingLotRepository/1[int],availableSpots,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,ParkingLotRepository/1[int],totalSpots,4
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,removeVehicle/1[java.lang.String],availableSpots,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,removeVehicle/1[java.lang.String],parkedVehicles,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,parkVehicle/1[Vehicle],availableSpots,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,parkVehicle/1[Vehicle],parkedVehicles,2
