file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Vehicle.java,Vehicle,getType/0,false,16,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Vehicle.java,Vehicle,getLicensePlate/0,false,12,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Vehicle.java,Vehicle,getEntryTime/0,false,20,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Vehicle.java,Vehicle,"Vehicle/3[java.lang.String,java.lang.String,long]",true,6,0,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,removeVehicle/1[java.lang.String],false,16,3,5,1,4,2,6,9,2,3,1,6,1,1,0,1,0,0,2,0,3,1,1,0,0,0,11,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,"calculateCharge/2[long,java.lang.String]",false,26,0,1,1,0,2,2,5,1,2,2,2,0,0,0,0,0,1,1,5,2,3,0,0,0,0,8,2,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,ParkingLotService/1[ParkingLotRepository],true,4,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,"parkVehicle/2[java.lang.String,java.lang.String]",false,8,2,3,1,2,2,2,7,2,1,2,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,9,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,isVehicleParked/1[java.lang.String],false,35,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,getAvailableSpots/0,false,31,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,ParkingLotRepository/1[int],true,9,0,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,removeVehicle/1[java.lang.String],false,23,1,1,1,0,2,1,7,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,parkVehicle/1[Vehicle],false,14,1,2,1,1,3,3,8,2,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Main.java,Main,main/1[java.lang.String[]],false,4,2,5,0,5,6,8,38,1,6,1,8,0,0,1,0,0,0,12,5,7,1,2,0,0,0,29,9,0,false
