file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Vehicle.java,Vehicle,"Vehicle/3[java.lang.String,java.lang.String,long]",entryTime,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Vehicle.java,Vehicle,"Vehicle/3[java.lang.String,java.lang.String,long]",licensePlate,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Vehicle.java,Vehicle,"Vehicle/3[java.lang.String,java.lang.String,long]",type,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,removeVehicle/1[java.lang.String],licensePlate,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,removeVehicle/1[java.lang.String],charge,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,removeVehicle/1[java.lang.String],parkedTime,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,removeVehicle/1[java.lang.String],vehicle,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,"calculateCharge/2[long,java.lang.String]",hours,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,"calculateCharge/2[long,java.lang.String]",parkedTime,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,"calculateCharge/2[long,java.lang.String]",type,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,"calculateCharge/2[long,java.lang.String]",hourlyRate,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,ParkingLotService/1[ParkingLotRepository],repository,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,"parkVehicle/2[java.lang.String,java.lang.String]",licensePlate,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,"parkVehicle/2[java.lang.String,java.lang.String]",type,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotService.java,ParkingLotService,"parkVehicle/2[java.lang.String,java.lang.String]",vehicle,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,isVehicleParked/1[java.lang.String],licensePlate,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,ParkingLotRepository/1[int],totalSpots,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,removeVehicle/1[java.lang.String],removedVehicle,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,removeVehicle/1[java.lang.String],licensePlate,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\ParkingLotRepository.java,ParkingLotRepository,parkVehicle/1[Vehicle],vehicle,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Main.java,Main,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Main.java,Main,main/1[java.lang.String[]],licensePlate,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Main.java,Main,main/1[java.lang.String[]],service,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Main.java,Main,main/1[java.lang.String[]],scanner,6
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Main.java,Main,main/1[java.lang.String[]],repository,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Main.java,Main,main/1[java.lang.String[]],type,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\SistemaEstacionamento\GPT\Main.java,Main,main/1[java.lang.String[]],option,1
