file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\controller\ParkingController.java,com.parking.controller.ParkingController,removeParkingSpot/1[java.lang.Long],parkingService,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\controller\ParkingController.java,com.parking.controller.ParkingController,addParkingSpot/1[com.parking.model.ParkingSpot],parkingService,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\controller\ParkingController.java,com.parking.controller.ParkingController,getAvailableSpots/0,parkingService,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,"ParkingSpot/2[int,java.lang.String]",isOccupied,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,"ParkingSpot/2[int,java.lang.String]",id,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,"ParkingSpot/2[int,java.lang.String]",vehicleType,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,isOccupied/0,isOccupied,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,setOccupied/1[boolean],isOccupied,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,getVehicleType/0,vehicleType,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,getId/0,id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\service\ParkingService.java,com.parking.service.ParkingService,ParkingService/0,parkingSpots,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\service\ParkingService.java,com.parking.service.ParkingService,parkVehicle/1[com.parking.model.ParkingSpot],parkingSpots,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\service\ParkingService.java,com.parking.service.ParkingService,unparkVehicle/1[com.parking.model.ParkingSpot],parkingSpots,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\service\ParkingService.java,com.parking.service.ParkingService,listAvailableSpots/0,parkingSpots,1
