file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\App.java,App,main/1[java.lang.String[]],false,2,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\test\java\com\parking\AppTest.java,AppTest,testAppInitialization/0,false,7,2,1,0,1,1,1,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\controller\ParkingController.java,com.parking.controller.ParkingController,removeParkingSpot/1[java.lang.Long],false,22,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\controller\ParkingController.java,com.parking.controller.ParkingController,addParkingSpot/1[com.parking.model.ParkingSpot],false,17,3,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\controller\ParkingController.java,com.parking.controller.ParkingController,getAvailableSpots/0,false,27,3,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,"ParkingSpot/2[int,java.lang.String]",true,8,0,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,isOccupied/0,false,18,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,setOccupied/1[boolean],false,22,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,getVehicleType/0,false,26,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,getId/0,false,14,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\service\ParkingService.java,com.parking.service.ParkingService,ParkingService/0,true,10,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\service\ParkingService.java,com.parking.service.ParkingService,parkVehicle/1[com.parking.model.ParkingSpot],false,14,1,2,0,2,2,3,9,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\service\ParkingService.java,com.parking.service.ParkingService,unparkVehicle/1[com.parking.model.ParkingSpot],false,23,1,2,0,2,2,3,9,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\service\ParkingService.java,com.parking.service.ParkingService,listAvailableSpots/0,false,32,1,2,1,1,3,2,9,1,1,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,8,1,0,false
