file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\App.java,App,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\test\java\com\parking\AppTest.java,AppTest,testAppInitialization/0,app,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\controller\ParkingController.java,com.parking.controller.ParkingController,removeParkingSpot/1[java.lang.Long],id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\controller\ParkingController.java,com.parking.controller.ParkingController,addParkingSpot/1[com.parking.model.ParkingSpot],parkingSpot,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,"ParkingSpot/2[int,java.lang.String]",id,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,"ParkingSpot/2[int,java.lang.String]",vehicleType,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\model\ParkingSpot.java,com.parking.model.ParkingSpot,setOccupied/1[boolean],occupied,1
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\service\ParkingService.java,com.parking.service.ParkingService,parkVehicle/1[com.parking.model.ParkingSpot],spot,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\service\ParkingService.java,com.parking.service.ParkingService,unparkVehicle/1[com.parking.model.ParkingSpot],spot,3
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\service\ParkingService.java,com.parking.service.ParkingService,listAvailableSpots/0,availableSpots,2
C:\Users\gabri\OneDrive\Documentos\CEFET\9P\TCC1\Sistemas\SistemaEstacionamento\GitHubCoPilot\parking-management-system\src\main\java\com\parking\service\ParkingService.java,com.parking.service.ParkingService,listAvailableSpots/0,spot,2
