file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,getTitulo/0,titulo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,getIsbn/0,isbn,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,isDisponivel/0,disponivel,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,setDisponivel/1[boolean],disponivel,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,"Livro/3[java.lang.String,java.lang.String,java.lang.String]",isbn,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,"Livro/3[java.lang.String,java.lang.String,java.lang.String]",titulo,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,"Livro/3[java.lang.String,java.lang.String,java.lang.String]",disponivel,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,"Livro/3[java.lang.String,java.lang.String,java.lang.String]",autor,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,getAutor/0,autor,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,cadastrarLivro/1[src.Livro],livros,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,deletarLivro/1[java.lang.String],livros,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"calcularMulta/2[java.lang.String,java.lang.String]",emprestimos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"finalizarEmprestimo/2[java.lang.String,java.lang.String]",emprestimos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"realizarEmprestimo/2[java.lang.String,java.lang.String]",livros,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"realizarEmprestimo/2[java.lang.String,java.lang.String]",emprestimos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"realizarEmprestimo/2[java.lang.String,java.lang.String]",usuarios,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,Biblioteca/0,livros,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,Biblioteca/0,emprestimos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,Biblioteca/0,usuarios,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,cadastrarUsuario/1[src.Usuario],usuarios,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,getDataEmprestimo/0,dataEmprestimo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,getUsuario/0,usuario,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,calcularMulta/1[java.time.LocalDate],dataEmprestimo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,calcularMulta/1[java.time.LocalDate],dataDevolucao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,"Emprestimo/3[src.Usuario,src.Livro,java.time.LocalDate]",livro,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,"Emprestimo/3[src.Usuario,src.Livro,java.time.LocalDate]",dataEmprestimo,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,"Emprestimo/3[src.Usuario,src.Livro,java.time.LocalDate]",usuario,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,"Emprestimo/3[src.Usuario,src.Livro,java.time.LocalDate]",dataDevolucao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,getLivro/0,livro,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,finalizarEmprestimo/1[java.time.LocalDate],dataDevolucao,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,getDataDevolucao/0,dataDevolucao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Usuario.java,src.Usuario,"Usuario/2[java.lang.String,java.lang.String]",cpf,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Usuario.java,src.Usuario,"Usuario/2[java.lang.String,java.lang.String]",nome,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Usuario.java,src.Usuario,equals/1[java.lang.Object],cpf,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Usuario.java,src.Usuario,getCpf/0,cpf,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Usuario.java,src.Usuario,hashCode/0,cpf,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Usuario.java,src.Usuario,getNome/0,nome,1
