file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,getTitulo/0,false,16,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,getIsbn/0,false,24,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,isDisponivel/0,false,28,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,setDisponivel/1[boolean],false,32,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,"Livro/3[java.lang.String,java.lang.String,java.lang.String]",true,9,0,1,1,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,getAutor/0,false,20,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,cadastrarLivro/1[src.Livro],false,18,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,deletarLivro/1[java.lang.String],false,22,1,2,1,1,1,3,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"calcularMulta/2[java.lang.String,java.lang.String]",false,59,3,6,1,5,2,12,10,0,3,2,12,0,0,0,1,0,0,2,0,2,1,1,0,0,1,9,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"finalizarEmprestimo/2[java.lang.String,java.lang.String]",false,46,3,8,1,7,3,14,10,0,2,2,14,0,0,0,2,0,0,1,0,1,0,1,0,0,1,8,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"realizarEmprestimo/2[java.lang.String,java.lang.String]",false,34,3,6,1,5,3,16,11,0,4,2,16,0,0,0,2,0,0,1,0,2,0,1,0,0,2,13,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,Biblioteca/0,true,12,3,1,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,cadastrarUsuario/1[src.Usuario],false,26,1,1,1,0,2,3,8,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],false,6,3,9,0,9,9,11,67,1,15,1,11,0,0,1,0,0,0,23,7,15,0,2,0,0,0,29,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,getDataEmprestimo/0,false,26,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,getUsuario/0,false,18,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,calcularMulta/1[java.time.LocalDate],false,38,0,1,1,0,3,2,7,2,1,1,2,0,0,0,1,0,0,0,5,1,2,1,0,0,0,10,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,"Emprestimo/3[src.Usuario,src.Livro,java.time.LocalDate]",true,11,2,1,1,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,false
