file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,setDisponivel/1[boolean],disponivel,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,"Livro/3[java.lang.String,java.lang.String,java.lang.String]",isbn,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,"Livro/3[java.lang.String,java.lang.String,java.lang.String]",titulo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,"Livro/3[java.lang.String,java.lang.String,java.lang.String]",autor,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,cadastrarLivro/1[src.Livro],livro,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,deletarLivro/1[java.lang.String],livro,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,deletarLivro/1[java.lang.String],isbn,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"calcularMulta/2[java.lang.String,java.lang.String]",emprestimo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"calcularMulta/2[java.lang.String,java.lang.String]",e,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"calcularMulta/2[java.lang.String,java.lang.String]",isbn,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"calcularMulta/2[java.lang.String,java.lang.String]",multa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"calcularMulta/2[java.lang.String,java.lang.String]",cpf,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"finalizarEmprestimo/2[java.lang.String,java.lang.String]",emprestimo,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"finalizarEmprestimo/2[java.lang.String,java.lang.String]",e,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"finalizarEmprestimo/2[java.lang.String,java.lang.String]",isbn,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"finalizarEmprestimo/2[java.lang.String,java.lang.String]",cpf,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"realizarEmprestimo/2[java.lang.String,java.lang.String]",u,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"realizarEmprestimo/2[java.lang.String,java.lang.String]",livro,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"realizarEmprestimo/2[java.lang.String,java.lang.String]",isbn,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"realizarEmprestimo/2[java.lang.String,java.lang.String]",cpf,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"realizarEmprestimo/2[java.lang.String,java.lang.String]",usuario,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,"realizarEmprestimo/2[java.lang.String,java.lang.String]",l,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,cadastrarUsuario/1[src.Usuario],usuario,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],opcao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],biblioteca,6
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],isbnDevolucao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],isbn,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],cpfEmprestimo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],cpfMulta,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],titulo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],nome,1
