file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,getLivro/0,livro,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,getDataEmprestimo/0,dataEmprestimo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,toString/0,dataDevolucaoPrevista,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,toString/0,livro,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,toString/0,dataEmprestimo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,toString/0,usuario,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,toString/0,finalizado,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,getDataDevolucaoPrevista/0,dataDevolucaoPrevista,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,getDataDevolucaoReal/0,dataDevolucaoReal,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,isFinalizado/0,finalizado,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,finalizarEmprestimo/1[java.time.LocalDate],dataDevolucaoReal,3
