file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,getLivro/0,false,380,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,getDataEmprestimo/0,false,381,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,toString/0,false,387,2,2,0,2,2,3,3,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,getDataDevolucaoPrevista/0,false,382,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,getDataDevolucaoReal/0,false,383,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,isFinalizado/0,false,384,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,finalizarEmprestimo/1[java.time.LocalDate],false,373,0,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,"Emprestimo/4[Usuario,Livro,java.time.LocalDate,java.time.LocalDate]",true,365,2,1,1,0,1,0,7,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,getUsuario/0,false,379,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Usuario,"Usuario/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",true,337,0,1,1,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Usuario,toString/0,false,351,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Usuario,getEmail/0,false,347,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Usuario,getTelefone/0,false,348,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Usuario,getCpf/0,false,345,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Usuario,getNome/0,false,346,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Livro,getQuantidadeDisponivel/0,false,322,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Livro,emprestar/0,false,304,0,1,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Livro,getIsbn/0,false,317,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Livro,getTitulo/0,false,318,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Livro,"Livro/5[java.lang.String,java.lang.String,java.lang.String,int,int]",true,295,0,1,1,0,1,0,8,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Livro,devolver/0,false,310,0,1,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Livro,getAutor/0,false,319,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Livro,toString/0,false,325,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Livro,getQuantidadeTotal/0,false,321,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Livro,getAnoPublicacao/0,false,320,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,SistemaBiblioteca,main/1[java.lang.String[]],false,15,1,8,0,8,11,12,50,0,1,1,12,8,1,1,1,0,0,13,10,1,0,2,0,0,0,32,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,SistemaBiblioteca,deletarLivro/0,false,104,1,4,1,3,5,10,23,1,3,0,10,0,0,1,0,0,0,5,1,4,0,3,0,0,0,27,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,SistemaBiblioteca,listarUsuarios/0,false,158,0,1,1,0,3,3,10,1,0,0,3,0,0,1,0,0,0,2,0,0,0,1,0,0,0,12,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,SistemaBiblioteca,realizarEmprestimo/0,false,170,3,9,1,8,12,14,46,4,7,0,14,0,0,3,2,0,0,9,2,9,1,2,0,0,0,38,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,SistemaBiblioteca,listarLivros/0,false,92,0,1,1,0,3,3,10,1,0,0,3,0,0,1,0,0,0,2,0,0,0,1,0,0,0,15,10,0,false
