file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,finalizarEmprestimo/1[java.time.LocalDate],dataDevolucaoReal,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,"Emprestimo/4[Usuario,Livro,java.time.LocalDate,java.time.LocalDate]",dataDevolucaoPrevista,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,"Emprestimo/4[Usuario,Livro,java.time.LocalDate,java.time.LocalDate]",livro,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,"Emprestimo/4[Usuario,Livro,java.time.LocalDate,java.time.LocalDate]",dataEmprestimo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Emprestimo,"Emprestimo/4[Usuario,Livro,java.time.LocalDate,java.time.LocalDate]",usuario,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Usuario,"Usuario/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",telefone,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Usuario,"Usuario/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",cpf,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Usuario,"Usuario/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",nome,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Usuario,"Usuario/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",email,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\DeepSeek\code\SistemaBiblioteca.java,Livro,"Livro/5[java.lang.String,java.lang.String,java.lang.String,int,int]",anoPublicacao,2
