file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,listarEmprestimos/0,emprestimos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,cadastrarLivro/0,sc,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,cadastrarLivro/0,livros,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,deletarLivro/0,sc,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,deletarLivro/0,livros,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,listarLivros/0,livros,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,finalizarEmprestimo/0,sc,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,finalizarEmprestimo/0,emprestimos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,realizarEmprestimo/0,sc,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,realizarEmprestimo/0,livros,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,realizarEmprestimo/0,emprestimos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,realizarEmprestimo/0,usuarios,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,listarUsuarios/0,usuarios,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,main/1[java.lang.String[]],sc,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,cadastrarUsuario/0,sc,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,cadastrarUsuario/0,usuarios,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Emprestimo,"Emprestimo/2[Livro,Usuario]",livro,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Emprestimo,"Emprestimo/2[Livro,Usuario]",dataEmprestimo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Emprestimo,"Emprestimo/2[Livro,Usuario]",usuario,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Emprestimo,"Emprestimo/2[Livro,Usuario]",dataDevolucao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Emprestimo,calcularMulta/0,dataEmprestimo,1
