file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,listarEmprestimos/0,false,201,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,cadastrarLivro/0,false,111,1,2,1,1,1,4,10,0,3,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,7,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,deletarLivro/0,false,122,0,1,1,0,1,5,6,0,2,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,1,14,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,listarLivros/0,false,193,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,finalizarEmprestimo/0,false,169,1,2,1,1,4,11,20,1,5,0,11,0,0,0,1,0,0,5,1,6,1,1,0,0,1,12,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,menu/0,false,97,0,1,1,0,1,2,13,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,realizarEmprestimo/0,false,143,3,2,1,1,3,15,21,2,8,0,15,0,0,0,0,0,0,5,0,7,0,1,0,0,2,16,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,listarUsuarios/0,false,197,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,main/1[java.lang.String[]],false,75,1,9,0,9,11,12,40,0,1,1,12,9,1,1,1,0,0,2,10,1,0,2,0,0,0,15,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,cadastrarUsuario/0,false,129,1,2,1,1,2,7,14,0,4,0,7,0,0,0,0,0,0,4,0,3,0,1,0,0,1,8,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Emprestimo,"Emprestimo/2[Livro,Usuario]",true,47,2,1,1,0,1,1,6,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Emprestimo,calcularMulta/0,false,54,0,1,1,0,3,2,5,2,1,0,2,0,0,0,1,0,0,0,5,1,1,1,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Emprestimo,toString/0,false,61,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0,1,5,0,0,1,0,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Usuario,toString/0,false,35,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Usuario,"Usuario/2[java.lang.String,java.lang.String]",true,29,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Livro,toString/0,false,19,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Livro,"Livro/3[java.lang.String,java.lang.String,java.lang.String]",true,11,0,1,1,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,false
