file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,cadastrarLivro/0,isbn,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,cadastrarLivro/0,titulo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,cadastrarLivro/0,autor,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,deletarLivro/0,isbn,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,deletarLivro/0,l,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,finalizarEmprestimo/0,emprestimo,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,finalizarEmprestimo/0,e,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,finalizarEmprestimo/0,empOpt,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,finalizarEmprestimo/0,isbn,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,finalizarEmprestimo/0,multa,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,realizarEmprestimo/0,emprestimo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,realizarEmprestimo/0,u,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,realizarEmprestimo/0,livro,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,realizarEmprestimo/0,isbn,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,realizarEmprestimo/0,cpf,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,realizarEmprestimo/0,l,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,realizarEmprestimo/0,usuarioOpt,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,realizarEmprestimo/0,livroOpt,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,main/1[java.lang.String[]],opcao,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,cadastrarUsuario/0,u,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,cadastrarUsuario/0,cpf,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,cadastrarUsuario/0,nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Biblioteca,cadastrarUsuario/0,existe,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Emprestimo,"Emprestimo/2[Livro,Usuario]",livro,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Emprestimo,"Emprestimo/2[Livro,Usuario]",usuario,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Emprestimo,calcularMulta/0,diasAtraso,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Usuario,"Usuario/2[java.lang.String,java.lang.String]",cpf,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Usuario,"Usuario/2[java.lang.String,java.lang.String]",nome,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Livro,"Livro/3[java.lang.String,java.lang.String,java.lang.String]",isbn,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Livro,"Livro/3[java.lang.String,java.lang.String,java.lang.String]",titulo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\GPT\code\Biblioteca.java,Livro,"Livro/3[java.lang.String,java.lang.String,java.lang.String]",autor,2
