file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,takeDamage/1[int],defense,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,takeDamage/1[int],hp,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,"Character/5[java.lang.String,int,int,int,int]",strength,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,"Character/5[java.lang.String,int,int,int,int]",defense,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,"Character/5[java.lang.String,int,int,int,int]",name,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,"Character/5[java.lang.String,int,int,int,int]",hp,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,"Character/5[java.lang.String,int,int,int,int]",intelligence,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,defend/0,defense,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,defend/0,name,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,isAlive/0,hp,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,attack/1[Character],strength,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,attack/1[Character],name,1
