file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Warrior,specialAbility/1[Character],damage,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Warrior,specialAbility/1[Character],opponent,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,TurnBasedRPG,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,TurnBasedRPG,main/1[java.lang.String[]],opponentAction,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,TurnBasedRPG,main/1[java.lang.String[]],opponent,8
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,TurnBasedRPG,main/1[java.lang.String[]],scanner,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,TurnBasedRPG,main/1[java.lang.String[]],action,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,TurnBasedRPG,main/1[java.lang.String[]],choice,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,TurnBasedRPG,main/1[java.lang.String[]],player,8
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,takeDamage/1[int],damage,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,specialAbility/1[Character],opponent,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,"Character/5[java.lang.String,int,int,int,int]",strength,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,"Character/5[java.lang.String,int,int,int,int]",defense,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,"Character/5[java.lang.String,int,int,int,int]",name,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,"Character/5[java.lang.String,int,int,int,int]",hp,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,"Character/5[java.lang.String,int,int,int,int]",intelligence,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,attack/1[Character],damage,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Character,attack/1[Character],opponent,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Copilot\code\TurnBasedRPG.java,Mage,specialAbility/1[Character],opponent,1
