file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,mostrarStatus/0,hpMax,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,mostrarStatus/0,inteligencia,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,mostrarStatus/0,forca,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,mostrarStatus/0,hp,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,mostrarStatus/0,defendendo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,mostrarStatus/0,nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,mostrarStatus/0,defesa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,resetDefesa/0,defendendo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,resetDefesa/0,defesa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,resetDefesa/0,defesaBase,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,estaVivo/0,hp,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,receberDano/1[int],hp,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,receberDano/1[int],nome,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,receberDano/1[int],defesa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",hpMax,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",inteligencia,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",forca,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",hp,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",defendendo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",nome,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",defesa,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",defesaBase,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,defender/0,defendendo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,defender/0,nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,defender/0,defesa,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,defender/0,defesaBase,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Mago,Mago/0,defesaMagicaAtiva,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Mago,resetDefesa/0,defesaMagicaAtiva,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Mago,usarHabilidadeEspecial/1[Personagem],defesaMagicaAtiva,1
