file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Guerreiro,usarHabilidadeEspecial/1[Personagem],false,72,1,1,0,1,1,2,5,0,1,1,2,0,0,0,0,0,1,2,1,1,2,0,0,0,0,13,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Guerreiro,Guerreiro/0,true,60,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Guerreiro,atacar/1[Personagem],false,65,1,1,0,1,1,2,5,0,1,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,12,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,mostrarStatus/0,false,52,0,1,1,0,2,1,3,0,0,0,1,0,0,0,0,0,1,8,0,0,1,0,0,0,0,10,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,resetDefesa/0,false,40,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,estaVivo/0,false,45,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,receberDano/1[int],false,24,0,4,4,0,2,2,9,0,1,1,2,0,0,0,0,0,0,3,3,3,3,1,0,0,0,11,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",true,13,0,0,0,0,1,0,10,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,atacar/1[Personagem],false,49,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,usarHabilidadeEspecial/1[Personagem],false,50,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1025,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,defender/0,false,34,0,1,1,0,1,1,5,0,0,0,1,0,0,0,0,0,1,1,1,2,3,0,0,0,0,9,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Mago,Mago/0,true,82,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Mago,atacar/1[Personagem],false,88,1,1,0,1,1,2,5,0,1,1,2,0,0,0,0,0,0,2,1,1,2,0,0,0,0,10,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Mago,resetDefesa/0,false,118,0,0,0,0,2,1,7,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Mago,usarHabilidadeEspecial/1[Personagem],false,95,1,1,0,1,3,4,21,0,3,1,4,0,0,0,2,0,0,8,4,5,4,1,0,0,0,32,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,JogoRPG,main/1[java.lang.String[]],false,128,3,8,0,8,12,11,70,0,6,1,11,0,0,1,1,0,1,20,9,8,4,2,0,0,0,36,9,0,false
