file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Guerreiro,usarHabilidadeEspecial/1[Personagem],dano,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Guerreiro,usarHabilidadeEspecial/1[Personagem],alvo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Guerreiro,atacar/1[Personagem],dano,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Guerreiro,atacar/1[Personagem],alvo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,receberDano/1[int],dano,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,receberDano/1[int],danoReduzido,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",inteligencia,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",forca,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",hp,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",nome,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",defesa,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,atacar/1[Personagem],alvo,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Personagem,usarHabilidadeEspecial/1[Personagem],alvo,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Mago,atacar/1[Personagem],dano,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Mago,atacar/1[Personagem],alvo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Mago,usarHabilidadeEspecial/1[Personagem],dano,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Mago,usarHabilidadeEspecial/1[Personagem],escolha,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Mago,usarHabilidadeEspecial/1[Personagem],scanner,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,Mago,usarHabilidadeEspecial/1[Personagem],alvo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,JogoRPG,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,JogoRPG,main/1[java.lang.String[]],escolha,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,JogoRPG,main/1[java.lang.String[]],inimigo,12
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,JogoRPG,main/1[java.lang.String[]],scanner,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,JogoRPG,main/1[java.lang.String[]],acao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,JogoRPG,main/1[java.lang.String[]],acaoInimigo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\DeepSeek\code\JogoRPG.java,JogoRPG,main/1[java.lang.String[]],jogador,12
