file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Guerreiro,Guerreiro/1[java.lang.String],nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Guerreiro,habilidadeEspecial/1[Personagem],dano,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Guerreiro,habilidadeEspecial/1[Personagem],alvo,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Mago,Mago/1[java.lang.String],nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Mago,habilidadeEspecial/1[Personagem],dano,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Mago,habilidadeEspecial/1[Personagem],alvo,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Personagem,habilidadeEspecial/1[Personagem],alvo,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Personagem,atacar/1[Personagem],dano,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Personagem,atacar/1[Personagem],alvo,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",inteligencia,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",forca,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",hp,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",nome,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",defesa,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,RPGTurnos,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,RPGTurnos,main/1[java.lang.String[]],random,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,RPGTurnos,main/1[java.lang.String[]],escolha,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,RPGTurnos,main/1[java.lang.String[]],inimigo,10
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,RPGTurnos,main/1[java.lang.String[]],scanner,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,RPGTurnos,main/1[java.lang.String[]],acao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,RPGTurnos,main/1[java.lang.String[]],acaoInimigo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\GPT\code\RPGTurnos.java,RPGTurnos,main/1[java.lang.String[]],jogador,11
