file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,Mago/1[java.lang.String],mana,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,Mago/1[java.lang.String],manaMaxima,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,usarMana/1[int],mana,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,usarHabilidadeEspecial/1[Personagem],mana,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,getMana/0,mana,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,getHp/0,hp,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,getForca/0,forca,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,getInteligencia/0,inteligencia,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,getDefesa/0,defesa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,getNome/0,nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,defender/0,random,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,defender/0,nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,defender/0,defesa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,estaVivo/0,hp,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,receberDano/1[int],hp,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,receberDano/1[int],nome,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,receberDano/1[int],defesa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",inteligencia,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",forca,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",hp,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",nome,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",defesa,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Jogo.java,Jogo,finalizarJogo/0,scanner,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Jogo.java,Jogo,finalizarJogo/0,oponente,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Jogo.java,Jogo,finalizarJogo/0,jogador,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Jogo.java,Jogo,criarOponente/0,oponente,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Jogo.java,Jogo,escolherPersonagem/0,scanner,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Jogo.java,Jogo,escolherPersonagem/0,jogador,5
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Jogo.java,Jogo,loopDeTurnos/0,oponente,6
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Jogo.java,Jogo,loopDeTurnos/0,jogador,6
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Jogo.java,Jogo,"acoes/2[Personagem,Personagem]",scanner,2
