file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Guerreiro.java,Guerreiro,Guerreiro/1[java.lang.String],true,2,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Guerreiro.java,Guerreiro,atacar/1[Personagem],false,7,1,3,0,3,1,5,5,0,1,1,5,0,0,0,0,0,0,3,1,1,2,0,0,0,0,14,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Guerreiro.java,Guerreiro,resetarDefesa/0,false,39,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Guerreiro.java,Guerreiro,usarHabilidadeEspecial/1[Personagem],false,14,1,3,0,3,3,7,22,0,3,1,7,0,0,0,0,0,0,9,6,4,4,1,0,0,0,35,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,resetarDefesa/0,false,61,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,Mago/1[java.lang.String],true,5,0,2,2,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,usarMana/1[int],false,14,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,usarHabilidadeEspecial/1[Personagem],false,26,2,4,0,4,5,8,34,0,3,1,8,1,1,0,0,0,0,11,10,4,4,2,0,0,0,37,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,getMana/0,false,10,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,atacar/1[Personagem],false,19,1,3,0,3,1,5,5,0,1,1,5,0,0,0,0,0,0,3,1,1,2,0,0,0,0,13,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,getHp/0,false,25,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,getForca/0,false,29,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,getInteligencia/0,false,33,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,usarHabilidadeEspecial/1[Personagem],false,55,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1025,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,getDefesa/0,false,37,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,getNome/0,false,21,0,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,defender/0,false,56,0,1,1,0,1,2,5,0,1,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,atacar/1[Personagem],false,54,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,estaVivo/0,false,50,0,2,2,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,receberDano/1[int],false,41,0,4,4,0,2,2,8,0,1,1,2,0,0,0,0,0,0,3,2,2,3,1,0,0,0,10,1,0,false
