file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Guerreiro.java,Guerreiro,Guerreiro/1[java.lang.String],nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Guerreiro.java,Guerreiro,atacar/1[Personagem],alvo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Guerreiro.java,Guerreiro,atacar/1[Personagem],danoBase,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Guerreiro.java,Guerreiro,usarHabilidadeEspecial/1[Personagem],escolha,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Guerreiro.java,Guerreiro,usarHabilidadeEspecial/1[Personagem],danoBrutal,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Guerreiro.java,Guerreiro,usarHabilidadeEspecial/1[Personagem],defesaAdicional,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Guerreiro.java,Guerreiro,usarHabilidadeEspecial/1[Personagem],alvo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,Mago/1[java.lang.String],nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,usarMana/1[int],custo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,usarHabilidadeEspecial/1[Personagem],escolha,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,usarHabilidadeEspecial/1[Personagem],danoBolaDeFogo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,usarHabilidadeEspecial/1[Personagem],alvo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,usarHabilidadeEspecial/1[Personagem],defesaTemporaria,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,atacar/1[Personagem],alvo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Mago.java,Mago,atacar/1[Personagem],danoMagico,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,usarHabilidadeEspecial/1[Personagem],alvo,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,defender/0,defesaTemporaria,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,atacar/1[Personagem],alvo,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,receberDano/1[int],dano,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,receberDano/1[int],danoReduzido,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",inteligencia,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",forca,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",hp,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",nome,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\3_RPG\Gemini\code\Personagem.java,Personagem,"Personagem/5[java.lang.String,int,int,int,int]",defesa,2
