file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,cadastrarCliente/0,false,139,2,3,1,2,3,6,21,0,3,0,6,0,0,0,2,0,0,6,2,3,0,1,0,0,0,16,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,buscarContaPorNome/1[java.lang.String],false,241,1,3,2,1,3,3,9,2,0,1,3,0,0,1,0,0,0,1,0,0,0,2,0,0,0,8,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,realizarOperacoes/0,false,167,4,6,1,5,10,10,56,0,10,0,10,2,2,0,2,0,1,11,5,10,0,4,0,0,0,20,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,main/1[java.lang.String[]],false,104,1,4,0,4,7,8,34,0,1,1,8,4,3,1,1,0,0,9,6,1,0,2,0,0,0,17,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,simularRendimento/0,false,224,3,4,1,3,2,4,11,0,2,0,4,1,2,0,0,0,0,3,0,2,2,1,0,0,0,9,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,buscarConta/0,false,235,2,4,3,1,1,3,5,1,1,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,5,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,consultarSaldo/0,false,160,2,3,1,2,2,3,6,0,1,0,3,1,2,0,1,0,0,1,0,1,1,1,0,0,0,6,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaPoupanca,"ContaPoupanca/2[java.lang.String,double]",true,66,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaPoupanca,sacar/1[double],false,72,0,0,0,0,3,1,9,0,0,1,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,8,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaPoupanca,depositar/1[double],false,82,0,0,0,0,2,1,9,0,0,1,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaPoupanca,simularRendimentoAnual/0,false,95,1,2,1,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaPoupanca,simularRendimentoMensal/0,false,91,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaCorrente,ContaCorrente/1[java.lang.String],true,28,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaCorrente,"transferir/2[Conta,double]",false,52,1,2,1,1,3,2,10,0,0,2,2,0,0,0,0,0,0,2,1,1,0,1,0,0,0,9,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaCorrente,depositar/1[double],false,43,0,0,0,0,2,1,9,0,0,1,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaCorrente,sacar/1[double],false,33,0,0,0,0,3,1,9,0,0,1,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,8,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Conta,depositar/1[double],false,23,0,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Conta,getSaldo/0,false,17,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Conta,getCliente/0,false,13,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Conta,Conta/1[java.lang.String],true,8,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Conta,sacar/1[double],false,21,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
