file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,cadastrarCliente/0,nome,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,cadastrarCliente/0,taxaJuros,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,cadastrarCliente/0,tipoConta,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,buscarContaPorNome/1[java.lang.String],conta,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,buscarContaPorNome/1[java.lang.String],nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,realizarOperacoes/0,valorTransferencia,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,realizarOperacoes/0,valorDeposito,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,realizarOperacoes/0,operacao,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,realizarOperacoes/0,conta,8
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,realizarOperacoes/0,destino,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,realizarOperacoes/0,valorSaque,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,realizarOperacoes/0,nomeDestino,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,main/1[java.lang.String[]],opcao,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,simularRendimento/0,poupanca,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,simularRendimento/0,conta,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,buscarConta/0,nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,consultarSaldo/0,conta,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaPoupanca,"ContaPoupanca/2[java.lang.String,double]",cliente,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaPoupanca,"ContaPoupanca/2[java.lang.String,double]",taxaJuros,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaPoupanca,sacar/1[double],valor,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaPoupanca,depositar/1[double],valor,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaCorrente,ContaCorrente/1[java.lang.String],cliente,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaCorrente,"transferir/2[Conta,double]",valor,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaCorrente,"transferir/2[Conta,double]",destino,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaCorrente,depositar/1[double],valor,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaCorrente,sacar/1[double],valor,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Conta,depositar/1[double],valor,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Conta,Conta/1[java.lang.String],cliente,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Conta,sacar/1[double],valor,0
