file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\ContaPoupanca.java,ContaPoupanca,setTaxaJurosMensal/1[double],taxaJurosMensal,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\ContaPoupanca.java,ContaPoupanca,simularRendimentoMensal/0,taxaJurosMensal,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\ContaPoupanca.java,ContaPoupanca,simularRendimentoAnual/0,taxaJurosMensal,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\ContaPoupanca.java,ContaPoupanca,ContaPoupanca/1[double],taxaJurosMensal,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\ContaPoupanca.java,ContaPoupanca,getTaxaJurosMensal/0,taxaJurosMensal,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\ContaPoupanca.java,ContaPoupanca,gerarRendimento/0,taxaJurosMensal,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Conta.java,Conta,getSaldo/0,saldo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Conta.java,Conta,getNumero/0,numero,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Conta.java,Conta,depositar/1[double],numero,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Conta.java,Conta,depositar/1[double],saldo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Conta.java,Conta,toString/0,numero,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Conta.java,Conta,toString/0,saldo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Conta.java,Conta,Conta/0,numero,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Conta.java,Conta,Conta/0,saldo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Cliente.java,Cliente,"Cliente/3[java.lang.String,java.lang.String,Conta]",cpf,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Cliente.java,Cliente,"Cliente/3[java.lang.String,java.lang.String,Conta]",conta,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Cliente.java,Cliente,"Cliente/3[java.lang.String,java.lang.String,Conta]",nome,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Cliente.java,Cliente,getCpf/0,cpf,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Cliente.java,Cliente,getConta/0,conta,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Cliente.java,Cliente,getNome/0,nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Cliente.java,Cliente,toString/0,cpf,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Cliente.java,Cliente,toString/0,conta,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Cliente.java,Cliente,toString/0,nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,cadastrarCliente/0,scanner,6
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,cadastrarCliente/0,clientes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,realizarTransferencia/0,scanner,5
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,realizarSaque/0,scanner,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,SistemaBancario/0,scanner,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,SistemaBancario/0,clientes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,simularRendimentoPoupanca/0,scanner,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,buscarCliente/1[java.lang.String],clientes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,buscarClientePorNumeroConta/1[int],clientes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,consultarSaldo/0,scanner,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,executar/0,scanner,3
