file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\ContaPoupanca.java,ContaPoupanca,setTaxaJurosMensal/1[double],taxaJurosMensal,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\ContaPoupanca.java,ContaPoupanca,ContaPoupanca/1[double],taxaJurosMensal,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\ContaPoupanca.java,ContaPoupanca,gerarRendimento/0,rendimento,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\ContaPoupanca.java,ContaPoupanca,sacar/1[double],valor,5
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\ContaCorrente.java,ContaCorrente,sacar/1[double],valor,5
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\ContaCorrente.java,ContaCorrente,"transferir/2[Conta,double]",valor,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\ContaCorrente.java,ContaCorrente,"transferir/2[Conta,double]",destino,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Conta.java,Conta,sacar/1[double],valor,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Conta.java,Conta,depositar/1[double],valor,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Cliente.java,Cliente,"Cliente/3[java.lang.String,java.lang.String,Conta]",cpf,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Cliente.java,Cliente,"Cliente/3[java.lang.String,java.lang.String,Conta]",conta,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\Cliente.java,Cliente,"Cliente/3[java.lang.String,java.lang.String,Conta]",nome,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,cadastrarCliente/0,cpf,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,cadastrarCliente/0,conta,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,cadastrarCliente/0,nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,cadastrarCliente/0,taxaJuros,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,cadastrarCliente/0,tipoConta,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,cadastrarCliente/0,novoCliente,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,realizarTransferencia/0,clienteDestinatario,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,realizarTransferencia/0,cpfRemetente,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Gemini\code\SistemaBancario.java,SistemaBancario,realizarTransferencia/0,numeroContaDestinatario,1
