file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,listarPedidosRecebidos/0,pedidoService,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,finalizarPreparo/1[int],pedidoService,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,CozinhaService/1[service.PedidoService],pedidoService,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,listarPedidosEmPreparo/0,pedidoService,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,iniciarPreparo/1[int],pedidoService,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,listarCardapio/0,cardapio,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,adicionarAlimento/1[model.Alimento],cardapio,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,buscarPedidoPorId/1[int],pedidos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,listarTodosPedidos/0,pedidos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,buscarAlimentoPorId/1[int],cardapio,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,"adicionarItemAoPedido/3[int,int,int]",pedidos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,"adicionarItemAoPedido/3[int,int,int]",cardapio,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,PedidoService/0,proximoId,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,PedidoService/0,pedidos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,PedidoService/0,cardapio,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,"atualizarStatusPedido/2[int,model.StatusPedido]",pedidos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,criarPedido/0,proximoId,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,criarPedido/0,pedidos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,getStatus/0,status,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,getDataHora/0,dataHora,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,setObservacoes/1[java.lang.String],observacoes,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,getItens/0,itens,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,getObservacoes/0,observacoes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,toString/0,id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,toString/0,status,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,Pedido/1[int],itens,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,Pedido/1[int],id,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,Pedido/1[int],dataHora,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,Pedido/1[int],status,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,getId/0,id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,setStatus/1[model.StatusPedido],status,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,removerItem/1[model.ItemPedido],itens,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,getTotal/0,itens,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Pedido.java,model.Pedido,adicionarItem/1[model.ItemPedido],itens,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Alimento.java,model.Alimento,getDescricao/0,descricao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Alimento.java,model.Alimento,getId/0,id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Alimento.java,model.Alimento,getNome/0,nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Alimento.java,model.Alimento,setPreco/1[double],preco,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Alimento.java,model.Alimento,getPreco/0,preco,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\model\Alimento.java,model.Alimento,toString/0,preco,1
