file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,listarPedidosRecebidos/0,false,16,2,3,1,2,2,6,3,1,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,finalizarPreparo/1[int],false,32,1,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,CozinhaService/1[service.PedidoService],true,12,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,listarPedidosEmPreparo/0,false,22,2,3,1,2,2,6,3,1,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,iniciarPreparo/1[int],false,28,1,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,listarCardapio/0,false,36,1,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,inicializarCardapio/0,false,25,2,3,1,2,1,1,6,0,0,0,1,1,1,0,0,0,0,8,8,0,0,0,0,0,0,9,2,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,adicionarAlimento/1[model.Alimento],false,32,1,3,2,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,buscarPedidoPorId/1[int],false,60,1,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,listarTodosPedidos/0,false,64,1,3,3,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,buscarAlimentoPorId/1[int],false,40,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,"adicionarItemAoPedido/3[int,int,int]",false,50,3,3,1,2,3,3,8,0,3,3,3,0,0,0,2,0,0,0,0,3,0,1,0,0,0,11,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,PedidoService/0,true,18,3,1,0,1,1,1,6,0,0,0,1,1,2,0,0,0,0,0,1,3,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,"atualizarStatusPedido/2[int,model.StatusPedido]",false,68,2,5,4,1,2,2,6,0,1,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
