file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,listarPedidosRecebidos/0,p,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,finalizarPreparo/1[int],pedidoId,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,CozinhaService/1[service.PedidoService],pedidoService,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,listarPedidosEmPreparo/0,p,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\CozinhaService.java,service.CozinhaService,iniciarPreparo/1[int],pedidoId,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,adicionarAlimento/1[model.Alimento],alimento,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,buscarPedidoPorId/1[int],id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,buscarAlimentoPorId/1[int],id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,"adicionarItemAoPedido/3[int,int,int]",item,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\DeepSeek\code\service\PedidoService.java,service.PedidoService,"adicionarItemAoPedido/3[int,int,int]",pedidoId,1
