file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,getStatus/0,status,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,adicionarItem/1[ItemPedido],itens,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,getItens/0,itens,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,getNumero/0,numero,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,setStatus/1[java.lang.String],status,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,toString/0,itens,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,toString/0,numero,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,toString/0,status,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,calcularTotal/0,itens,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,Pedido/0,itens,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,Pedido/0,numero,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,Pedido/0,contador,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,Pedido/0,status,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,ItemPedido,toString/0,produto,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,ItemPedido,toString/0,quantidade,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,ItemPedido,getTotal/0,produto,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,ItemPedido,getTotal/0,quantidade,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,ItemPedido,"ItemPedido/2[Produto,int]",produto,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,ItemPedido,"ItemPedido/2[Produto,int]",quantidade,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Produto,"Produto/2[java.lang.String,double]",preco,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Produto,"Produto/2[java.lang.String,double]",nome,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Produto,getPreco/0,preco,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Produto,getNome/0,nome,1
