file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],false,109,7,15,0,15,16,20,92,0,20,1,20,1,1,4,11,0,1,24,11,20,4,4,0,0,0,41,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,"encontrarPedido/2[java.util.List<Pedido>,int]",false,204,1,2,1,1,3,1,6,2,0,2,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,6,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,getStatus/0,false,62,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,adicionarItem/1[ItemPedido],false,49,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,getItens/0,false,64,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,getNumero/0,false,61,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,setStatus/1[java.lang.String],false,63,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,toString/0,false,66,1,1,0,1,2,6,9,1,1,0,6,1,1,1,0,0,0,7,0,1,0,1,0,0,0,12,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,calcularTotal/0,false,53,1,3,2,1,2,1,7,1,1,0,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,Pedido/0,true,43,1,1,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Cozinha,pedidoPronto/1[Pedido],false,84,1,3,1,2,1,3,4,0,0,1,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Cozinha,receberPedido/1[Pedido],false,79,1,3,1,2,1,3,4,0,0,1,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pagamento,realizarPagamento/1[Pedido],false,92,1,3,1,2,1,3,4,0,0,1,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,ItemPedido,toString/0,false,31,1,2,0,2,1,2,3,1,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,ItemPedido,getTotal/0,false,27,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,ItemPedido,"ItemPedido/2[Produto,int]",true,22,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Recibo,gerarRecibo/1[Pedido],false,100,1,1,1,0,1,2,5,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Produto,"Produto/2[java.lang.String,double]",true,8,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Produto,getPreco/0,false,14,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Produto,getNome/0,false,13,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
