file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],recibo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],opcao,7
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],qtd,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],numProd,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],num,5
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],i,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],pedidos,5
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],cardapio,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],sc,10
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],preco,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],p,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],cozinha,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],pedido,13
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,main/1[java.lang.String[]],pagamento,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,"encontrarPedido/2[java.util.List<Pedido>,int]",p,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,"encontrarPedido/2[java.util.List<Pedido>,int]",numero,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,RestauranteApp,"encontrarPedido/2[java.util.List<Pedido>,int]",pedidos,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,adicionarItem/1[ItemPedido],item,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,setStatus/1[java.lang.String],status,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,toString/0,item,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,toString/0,sb,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,calcularTotal/0,total,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pedido,calcularTotal/0,item,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Cozinha,pedidoPronto/1[Pedido],pedido,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Cozinha,receberPedido/1[Pedido],pedido,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Pagamento,realizarPagamento/1[Pedido],pedido,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,ItemPedido,"ItemPedido/2[Produto,int]",produto,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,ItemPedido,"ItemPedido/2[Produto,int]",quantidade,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Recibo,gerarRecibo/1[Pedido],pedido,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Produto,"Produto/2[java.lang.String,double]",preco,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\5_Restaurante\GPT\code\RestauranteApp.java,Produto,"Produto/2[java.lang.String,double]",nome,2
