file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,class,3,6,3,3,13,1,0,11,3,0.5833333,0.4,0.4,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,57,10,2,4,0,0,0,1,8,0,8,2,0,0,0,31,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,class,2,9,7,2,10,1,0,2,11,0.65,0.37777779,1.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,0,39,5,0,0,0,0,3,0,6,1,4,0,0,0,0,17,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\QuadroDAO.java,dao.QuadroDAO,class,2,5,3,2,9,1,0,6,0,0.5,0.6,0.6,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,37,8,1,3,0,0,0,1,5,0,5,2,0,0,0,21,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Cartao.java,model.Cartao,class,1,5,4,1,11,1,0,0,13,0.6727273,0.38181818,1.0,11,0,11,0,0,0,11,0,0,0,5,0,0,5,0,0,0,0,0,44,6,0,0,0,0,5,0,9,1,5,0,0,0,0,18,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Quadro.java,model.Quadro,class,1,7,6,1,10,1,0,2,7,0.625,0.42222223,1.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,0,39,5,0,0,0,0,4,0,6,1,4,0,0,0,0,17,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\service\ListaService.java,service.ListaService,class,3,4,1,3,6,1,0,5,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,21,5,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\service\QuadroService.java,service.QuadroService,class,2,3,1,2,6,1,0,5,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,21,5,0,0,0,0,0,0,1,0,1,0,0,0,0,16,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\Main.java,Main,class,10,11,1,10,92,1,0,65,176,0.76,NaN,NaN,25,25,1,24,0,0,1,0,0,0,4,4,0,4,0,0,0,0,52,436,17,13,12,2,0,137,33,47,15,47,3,0,0,0,120,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\service\CartaoService.java,service.CartaoService,class,3,4,1,3,7,1,0,6,0,0.0,1.0,1.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,24,6,0,0,0,0,0,0,1,0,1,0,0,0,0,23,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\ListaDAO.java,dao.ListaDAO,class,3,6,3,3,11,1,0,8,0,0.5,0.6,0.6,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,44,8,2,3,0,0,0,1,6,0,6,2,0,0,0,23,1,0
