file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,listarCartoesPorLista/1[model.Lista],cartoes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,excluirCartao/1[int],cartoes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"criarCartao/4[java.lang.String,java.lang.String,java.time.LocalDate,model.Lista]",proximoId,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"criarCartao/4[java.lang.String,java.lang.String,java.time.LocalDate,model.Lista]",cartoes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,buscarCartaoPorId/1[int],cartoes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,getId/0,id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,getQuadro/0,quadro,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,setQuadro/1[model.Quadro],quadro,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,"Lista/3[int,java.lang.String,model.Quadro]",quadro,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,"Lista/3[int,java.lang.String,model.Quadro]",cartoes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,"Lista/3[int,java.lang.String,model.Quadro]",nome,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,"Lista/3[int,java.lang.String,model.Quadro]",id,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,setNome/1[java.lang.String],nome,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,getNome/0,nome,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,toString/0,nome,1
