file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,listarCartoesPorLista/1[model.Lista],false,21,2,2,1,1,3,3,9,1,1,1,3,0,0,1,0,0,0,0,0,1,0,2,0,0,0,9,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,excluirCartao/1[int],false,63,3,4,1,3,2,4,9,2,1,1,4,1,1,0,1,0,0,0,0,1,0,1,0,0,0,10,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"moverCartao/2[int,model.Lista]",false,51,3,5,1,4,2,6,11,2,2,2,6,1,1,0,1,0,0,0,0,2,0,1,0,0,0,14,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"criarCartao/4[java.lang.String,java.lang.String,java.time.LocalDate,model.Lista]",false,14,2,3,1,2,1,2,6,1,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,buscarCartaoPorId/1[int],false,31,1,5,4,1,3,1,8,2,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,8,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"atualizarCartao/4[int,java.lang.String,java.lang.String,java.time.LocalDate]",false,40,2,5,1,4,2,4,10,2,1,4,4,1,1,0,1,0,0,0,0,1,0,1,0,0,0,14,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,getId/0,false,20,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,getQuadro/0,false,32,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,setQuadro/1[model.Quadro],false,36,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,"Lista/3[int,java.lang.String,model.Quadro]",true,12,2,1,1,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,setNome/1[java.lang.String],false,28,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,getNome/0,false,24,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
