file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,listarCartoesPorLista/1[model.Lista],lista,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,listarCartoesPorLista/1[model.Lista],result,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,listarCartoesPorLista/1[model.Lista],cartao,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,excluirCartao/1[int],cartao,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,excluirCartao/1[int],id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"moverCartao/2[int,model.Lista]",idCartao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"moverCartao/2[int,model.Lista]",cartao,5
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"moverCartao/2[int,model.Lista]",listaAntiga,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"moverCartao/2[int,model.Lista]",novaLista,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"criarCartao/4[java.lang.String,java.lang.String,java.time.LocalDate,model.Lista]",lista,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"criarCartao/4[java.lang.String,java.lang.String,java.time.LocalDate,model.Lista]",cartao,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"criarCartao/4[java.lang.String,java.lang.String,java.time.LocalDate,model.Lista]",dataVencimento,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"criarCartao/4[java.lang.String,java.lang.String,java.time.LocalDate,model.Lista]",titulo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"criarCartao/4[java.lang.String,java.lang.String,java.time.LocalDate,model.Lista]",descricao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,buscarCartaoPorId/1[int],cartao,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,buscarCartaoPorId/1[int],id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"atualizarCartao/4[int,java.lang.String,java.lang.String,java.time.LocalDate]",cartao,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"atualizarCartao/4[int,java.lang.String,java.lang.String,java.time.LocalDate]",dataVencimento,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"atualizarCartao/4[int,java.lang.String,java.lang.String,java.time.LocalDate]",titulo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"atualizarCartao/4[int,java.lang.String,java.lang.String,java.time.LocalDate]",id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\CartaoDAO.java,dao.CartaoDAO,"atualizarCartao/4[int,java.lang.String,java.lang.String,java.time.LocalDate]",descricao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,setQuadro/1[model.Quadro],quadro,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,"Lista/3[int,java.lang.String,model.Quadro]",quadro,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,"Lista/3[int,java.lang.String,model.Quadro]",nome,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,"Lista/3[int,java.lang.String,model.Quadro]",id,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,setNome/1[java.lang.String],nome,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,removerCartao/1[model.Cartao],cartao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\model\Lista.java,model.Lista,adicionarCartao/1[model.Cartao],cartao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\DeepSeek\code\dao\QuadroDAO.java,dao.QuadroDAO,"criarQuadro/2[java.lang.String,java.lang.String]",quadro,2
