file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,getName/0,name,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,toString/0,lists,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,toString/0,name,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,toString/0,description,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,getDescription/0,description,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,setDescription/1[java.lang.String],description,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,removeList/1[ProjectList],lists,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,getLists/0,lists,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,setName/1[java.lang.String],name,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,addList/1[ProjectList],lists,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,"Board/2[java.lang.String,java.lang.String]",lists,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,"Board/2[java.lang.String,java.lang.String]",name,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,"Board/2[java.lang.String,java.lang.String]",description,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\ProjectList.java,ProjectList,getCards/0,cards,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\ProjectList.java,ProjectList,ProjectList/1[java.lang.String],cards,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\ProjectList.java,ProjectList,ProjectList/1[java.lang.String],name,3
