file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,setDescription/1[java.lang.String],description,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,removeList/1[ProjectList],list,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,setName/1[java.lang.String],name,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,addList/1[ProjectList],list,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,"Board/2[java.lang.String,java.lang.String]",name,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Board.java,Board,"Board/2[java.lang.String,java.lang.String]",description,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\ProjectList.java,ProjectList,ProjectList/1[java.lang.String],name,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\ProjectList.java,ProjectList,setName/1[java.lang.String],name,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\ProjectList.java,ProjectList,addCard/1[Card],card,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\ProjectList.java,ProjectList,removeCard/1[Card],card,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Main.java,Main,"gerenciarCartoes/4[ProjectList,Board,ProjectManager,java.util.Scanner]",lista,8
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Main.java,Main,"gerenciarCartoes/4[ProjectList,Board,ProjectManager,java.util.Scanner]",opcao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Main.java,Main,"gerenciarCartoes/4[ProjectList,Board,ProjectManager,java.util.Scanner]",c,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Main.java,Main,"gerenciarCartoes/4[ProjectList,Board,ProjectManager,java.util.Scanner]",manager,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Main.java,Main,"gerenciarCartoes/4[ProjectList,Board,ProjectManager,java.util.Scanner]",data,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\6_GerenciadorProjetos\GPT\code\Main.java,Main,"gerenciarCartoes/4[ProjectList,Board,ProjectManager,java.util.Scanner]",titulo,1
