file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,setValor/1[double],valor,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,setData/1[java.time.LocalDate],data,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,getData/0,data,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,getCategoria/0,categoria,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,"Transacao/3[double,java.time.LocalDate,Categoria]",data,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,"Transacao/3[double,java.time.LocalDate,Categoria]",categoria,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,"Transacao/3[double,java.time.LocalDate,Categoria]",valor,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,setCategoria/1[Categoria],categoria,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,getValor/0,valor,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,"atualizarTransacao/2[int,Transacao]",transacoes,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,removerTransacao/1[int],transacoes,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,listarPorTipo/1[java.lang.String],transacoes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,gerarRelatorio/0,transacoes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,getTransacoes/0,transacoes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,adicionarTransacao/1[Transacao],transacoes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,"listarPorCategoria/2[Categoria,java.lang.String]",transacoes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,Financeiro/0,transacoes,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,calcularSaldo/0,transacoes,1
