file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,setValor/1[double],false,26,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,setData/1[java.time.LocalDate],false,30,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,getData/0,false,18,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,getCategoria/0,false,22,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,"Transacao/3[double,java.time.LocalDate,Categoria]",true,8,1,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,getTipo/0,false,38,0,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,setCategoria/1[Categoria],false,34,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,getValor/0,false,14,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,"atualizarTransacao/2[int,Transacao]",false,16,1,1,1,0,3,2,5,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,removerTransacao/1[int],false,22,0,1,1,0,3,2,5,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,listarPorTipo/1[java.lang.String],false,43,1,1,0,1,1,6,3,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,gerarRelatorio/0,false,49,2,5,0,5,2,7,7,0,0,0,7,1,1,1,0,0,0,3,0,0,0,1,0,0,0,13,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,getTransacoes/0,false,57,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,adicionarTransacao/1[Transacao],false,12,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,"listarPorCategoria/2[Categoria,java.lang.String]",false,37,2,3,1,2,2,7,3,1,1,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1,0,false
