file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,setValor/1[double],valor,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,setData/1[java.time.LocalDate],data,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,"Transacao/3[double,java.time.LocalDate,Categoria]",data,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,"Transacao/3[double,java.time.LocalDate,Categoria]",categoria,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,"Transacao/3[double,java.time.LocalDate,Categoria]",valor,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Transacao.java,Transacao,setCategoria/1[Categoria],categoria,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,"atualizarTransacao/2[int,Transacao]",t,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,"atualizarTransacao/2[int,Transacao]",index,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,removerTransacao/1[int],index,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,listarPorTipo/1[java.lang.String],tipo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,listarPorTipo/1[java.lang.String],t,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,gerarRelatorio/0,t,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,adicionarTransacao/1[Transacao],t,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,"listarPorCategoria/2[Categoria,java.lang.String]",tipo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,"listarPorCategoria/2[Categoria,java.lang.String]",t,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,"listarPorCategoria/2[Categoria,java.lang.String]",categoria,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,calcularSaldo/0,t,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Financeiro.java,Financeiro,calcularSaldo/0,saldo,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Receita.java,Receita,"Receita/3[double,java.time.LocalDate,Categoria]",data,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Receita.java,Receita,"Receita/3[double,java.time.LocalDate,Categoria]",categoria,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Receita.java,Receita,"Receita/3[double,java.time.LocalDate,Categoria]",valor,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,listarTransacoes/1[Financeiro],t,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,listarTransacoes/1[Financeiro],financeiro,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,listarTransacoes/1[Financeiro],i,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,main/1[java.lang.String[]],sc,8
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,main/1[java.lang.String[]],opcao,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,main/1[java.lang.String[]],receita,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,main/1[java.lang.String[]],c,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,main/1[java.lang.String[]],despesa,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,main/1[java.lang.String[]],t,5
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,main/1[java.lang.String[]],financeiro,9
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,main/1[java.lang.String[]],idx,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,main/1[java.lang.String[]],nova,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,"criarTransacao/2[java.util.Scanner,java.lang.String]",sc,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,"criarTransacao/2[java.util.Scanner,java.lang.String]",tipo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,"criarTransacao/2[java.util.Scanner,java.lang.String]",data,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,"criarTransacao/2[java.util.Scanner,java.lang.String]",categoria,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Main.java,Main,"criarTransacao/2[java.util.Scanner,java.lang.String]",valor,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Despesa.java,Despesa,"Despesa/3[double,java.time.LocalDate,Categoria]",data,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Despesa.java,Despesa,"Despesa/3[double,java.time.LocalDate,Categoria]",categoria,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\7_Financas\GPT\code\Despesa.java,Despesa,"Despesa/3[double,java.time.LocalDate,Categoria]",valor,1
