file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,class,6,7,1,6,15,1,0,11,0,0.22222222,1.0,1.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,47,2,1,8,0,0,0,4,11,0,7,4,0,0,0,29,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\dao\ArmazemDAO.java,dao.ArmazemDAO,class,1,4,3,1,10,1,0,7,0,0.4,1.0,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,31,6,2,3,0,0,0,2,3,0,4,2,0,0,1,21,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\model\Movimentacao.java,model.Movimentacao,class,3,6,3,3,18,1,0,2,48,0.75,0.3,1.0,16,0,16,0,0,0,16,0,0,0,7,0,0,7,0,0,0,0,0,63,8,0,2,0,2,10,0,14,1,7,0,0,0,0,21,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\dao\ProdutoDAO.java,dao.ProdutoDAO,class,1,4,3,1,10,1,0,7,0,0.4,1.0,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,31,6,2,3,0,0,0,2,3,0,4,2,0,0,1,21,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\ArmazemService.java,service.ArmazemService,class,2,3,1,2,7,1,0,7,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,28,5,0,1,0,0,0,1,3,0,3,1,0,0,0,22,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\model\Armazem.java,model.Armazem,class,0,5,5,0,8,1,0,0,0,0.5,0.5714286,1.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,31,4,0,0,0,0,4,0,6,1,3,0,0,0,0,11,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\ProdutoService.java,service.ProdutoService,class,2,3,1,2,7,1,0,8,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,29,5,0,1,0,0,0,1,3,0,3,1,0,0,0,23,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\model\TipoMovimentacao.java,model.TipoMovimentacao,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\Main.java,Main,class,10,11,1,10,53,1,0,38,0,0.7731093,NaN,NaN,17,17,1,16,0,0,1,0,0,0,7,7,0,7,0,0,0,0,29,334,2,7,0,0,0,81,20,58,3,54,2,0,0,0,82,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\dao\MovimentacaoDAO.java,dao.MovimentacaoDAO,class,1,3,2,1,5,1,0,3,0,0.33333334,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,19,3,1,1,0,0,0,1,2,0,2,2,0,0,0,15,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\model\Produto.java,model.Produto,class,0,5,5,0,10,1,0,0,3,0.6,0.46666667,1.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,0,39,5,0,0,0,0,5,0,8,1,4,0,0,0,0,13,1,0
