file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"transferirProduto/5[int,int,int,int,java.util.Date]",produtoDAO,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"transferirProduto/5[int,int,int,int,java.util.Date]",movimentacaoDAO,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"transferirProduto/5[int,int,int,int,java.util.Date]",armazemDAO,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"EstoqueService/3[dao.MovimentacaoDAO,dao.ArmazemDAO,dao.ProdutoDAO]",produtoDAO,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"EstoqueService/3[dao.MovimentacaoDAO,dao.ArmazemDAO,dao.ProdutoDAO]",movimentacaoDAO,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"EstoqueService/3[dao.MovimentacaoDAO,dao.ArmazemDAO,dao.ProdutoDAO]",armazemDAO,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"calcularEstoqueDisponivel/2[int,int]",movimentacaoDAO,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,listarMovimentacoes/0,movimentacaoDAO,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"registrarSaida/4[int,int,int,java.util.Date]",produtoDAO,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"registrarSaida/4[int,int,int,java.util.Date]",movimentacaoDAO,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"registrarSaida/4[int,int,int,java.util.Date]",armazemDAO,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"registrarEntrada/4[int,int,int,java.util.Date]",produtoDAO,1
