file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"transferirProduto/5[int,int,int,int,java.util.Date]",false,49,4,5,1,4,1,3,4,0,1,5,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"EstoqueService/3[dao.MovimentacaoDAO,dao.ArmazemDAO,dao.ProdutoDAO]",true,17,3,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"calcularEstoqueDisponivel/2[int,int]",false,66,4,11,3,8,10,8,22,1,1,2,8,0,0,1,8,0,0,0,1,5,0,4,0,0,0,9,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,listarMovimentacoes/0,false,62,2,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"registrarSaida/4[int,int,int,java.util.Date]",false,36,4,5,1,4,1,3,4,0,1,4,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"registrarEntrada/4[int,int,int,java.util.Date]",false,23,4,5,1,4,1,3,4,0,1,4,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\dao\ArmazemDAO.java,dao.ArmazemDAO,listarArmazens/0,false,18,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\dao\ArmazemDAO.java,dao.ArmazemDAO,criarArmazem/1[model.Armazem],false,13,1,2,1,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\dao\ArmazemDAO.java,dao.ArmazemDAO,atualizarArmazem/1[model.Armazem],false,31,1,2,1,1,3,4,9,2,1,1,4,0,0,1,1,0,0,0,1,1,0,2,0,0,0,7,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\dao\ArmazemDAO.java,dao.ArmazemDAO,excluirArmazem/1[int],false,41,1,2,1,1,2,2,3,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\dao\ArmazemDAO.java,dao.ArmazemDAO,buscarArmazemPorId/1[int],false,22,1,6,5,1,3,1,8,2,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,8,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\model\Movimentacao.java,model.Movimentacao,setTipo/1[model.TipoMovimentacao],false,40,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\model\Movimentacao.java,model.Movimentacao,setQuantidade/1[int],false,36,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
