file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"transferirProduto/5[int,int,int,int,java.util.Date]",transferencia,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"transferirProduto/5[int,int,int,int,java.util.Date]",produtoId,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"transferirProduto/5[int,int,int,int,java.util.Date]",armazemDestinoId,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"transferirProduto/5[int,int,int,int,java.util.Date]",armazemOrigemId,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"transferirProduto/5[int,int,int,int,java.util.Date]",data,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"transferirProduto/5[int,int,int,int,java.util.Date]",quantidade,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"EstoqueService/3[dao.MovimentacaoDAO,dao.ArmazemDAO,dao.ProdutoDAO]",produtoDAO,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"EstoqueService/3[dao.MovimentacaoDAO,dao.ArmazemDAO,dao.ProdutoDAO]",movimentacaoDAO,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"EstoqueService/3[dao.MovimentacaoDAO,dao.ArmazemDAO,dao.ProdutoDAO]",armazemDAO,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"calcularEstoqueDisponivel/2[int,int]",armazemId,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"calcularEstoqueDisponivel/2[int,int]",produtoId,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"calcularEstoqueDisponivel/2[int,int]",estoque,5
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"calcularEstoqueDisponivel/2[int,int]",mov,12
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\DeepSeek\code\service\EstoqueService.java,service.EstoqueService,"registrarSaida/4[int,int,int,java.util.Date]",armazemId,1
