file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,selectWarehouse/0,warehouses,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,selectWarehouse/0,scanner,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,main/1[java.lang.String[]],scanner,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageProducts/0,scanner,11
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageProducts/0,products,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,selectProduct/0,scanner,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,selectProduct/0,products,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageWarehouses/0,scanner,9
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageWarehouses/0,warehouses,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,stockMovements/0,scanner,5
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,stockMovements/0,movements,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,getId/0,id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,setLocation/1[java.lang.String],location,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,getLocation/0,location,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,"Warehouse/2[java.lang.String,java.lang.String]",nextId,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,"Warehouse/2[java.lang.String,java.lang.String]",name,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,"Warehouse/2[java.lang.String,java.lang.String]",location,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,"Warehouse/2[java.lang.String,java.lang.String]",id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,setName/1[java.lang.String],name,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,getName/0,name,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,toString/0,name,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,toString/0,location,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,toString/0,id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,"StockMovement/6[StockMovement.Type,Product,int,java.time.LocalDate,Warehouse,Warehouse]",date,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,"StockMovement/6[StockMovement.Type,Product,int,java.time.LocalDate,Warehouse,Warehouse]",product,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,"StockMovement/6[StockMovement.Type,Product,int,java.time.LocalDate,Warehouse,Warehouse]",quantity,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,"StockMovement/6[StockMovement.Type,Product,int,java.time.LocalDate,Warehouse,Warehouse]",destination,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,"StockMovement/6[StockMovement.Type,Product,int,java.time.LocalDate,Warehouse,Warehouse]",source,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,"StockMovement/6[StockMovement.Type,Product,int,java.time.LocalDate,Warehouse,Warehouse]",type,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,toString/0,date,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,toString/0,product,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,toString/0,quantity,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,toString/0,destination,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,toString/0,source,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,toString/0,type,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,getName/0,name,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,"removeStock/2[int,int]",stockByWarehouse,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,toString/0,price,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,toString/0,name,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,toString/0,description,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,toString/0,id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,getStock/1[int],stockByWarehouse,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,"addStock/2[int,int]",stockByWarehouse,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,setPrice/1[double],price,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,getDescription/0,description,1
