file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,selectWarehouse/0,false,287,1,2,1,1,2,8,6,1,2,0,8,0,0,0,1,0,0,1,0,1,0,0,0,0,1,4,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,main/1[java.lang.String[]],false,116,0,0,0,0,5,4,22,0,1,1,4,0,0,1,1,0,0,6,4,1,0,2,0,0,0,15,9,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageProducts/0,false,181,1,5,0,5,6,15,53,0,9,0,15,0,0,1,3,0,0,19,5,6,0,3,0,0,4,14,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,selectProduct/0,false,280,1,2,1,1,2,8,6,1,2,0,8,0,0,0,1,0,0,1,0,1,0,0,0,0,1,4,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageWarehouses/0,false,136,1,4,0,4,6,13,49,0,8,0,13,0,0,1,3,0,0,17,5,5,0,3,0,0,4,14,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,stockMovements/0,false,230,4,8,0,8,8,13,55,0,11,0,13,2,1,1,1,0,0,15,5,11,0,3,0,0,0,17,10,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,getId/0,false,17,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,setLocation/1[java.lang.String],false,21,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,getLocation/0,false,19,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,"Warehouse/2[java.lang.String,java.lang.String]",true,11,0,1,1,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,setName/1[java.lang.String],false,20,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,getName/0,false,18,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,toString/0,false,24,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,"StockMovement/6[StockMovement.Type,Product,int,java.time.LocalDate,Warehouse,Warehouse]",true,91,3,1,1,0,1,0,8,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,StockMovement,toString/0,false,101,2,2,0,2,3,2,3,1,0,0,2,0,0,0,2,0,2,8,0,0,3,0,0,0,0,8,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,getName/0,false,47,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,"removeStock/2[int,int]",false,63,1,3,2,1,2,2,6,2,1,2,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,9,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,toString/0,false,76,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,getStock/1[int],false,55,0,3,3,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,"addStock/2[int,int]",false,59,1,3,2,1,1,2,3,0,0,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,setPrice/1[double],false,53,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,getDescription/0,false,48,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,setDescription/1[java.lang.String],false,52,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,getPrice/0,false,49,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,getId/0,false,46,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,"transferStock/3[int,int,int]",false,70,1,3,1,2,1,2,4,0,0,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,"Product/3[java.lang.String,java.lang.String,double]",true,38,0,1,1,0,1,0,7,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,1,0,false
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Product,setName/1[java.lang.String],false,51,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
