file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,selectWarehouse/0,w,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,selectWarehouse/0,id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,main/1[java.lang.String[]],option,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageProducts/0,p,7
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageProducts/0,price,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageProducts/0,name,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageProducts/0,id,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageProducts/0,option,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageProducts/0,desc,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,selectProduct/0,p,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,selectProduct/0,id,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageWarehouses/0,w,6
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageWarehouses/0,name,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageWarehouses/0,location,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageWarehouses/0,id,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,manageWarehouses/0,option,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,stockMovements/0,p,9
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,stockMovements/0,w,5
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,stockMovements/0,qty,9
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,stockMovements/0,source,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,stockMovements/0,dest,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,InventorySystem,stockMovements/0,option,3
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,setLocation/1[java.lang.String],location,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\8_Estoque\GPT\code\InventorySystem.java,Warehouse,"Warehouse/2[java.lang.String,java.lang.String]",name,2
